Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Example of DIL', 'Optimizer': <keras.optimizers.adam.Adam object at 0x000001BEB475F850>, 'Loss function': <keras.losses.SparseCategoricalCrossentropy object at 0x000001BEBC4A3F40>, 'Number of epochs per task': 10, 'Learning_rate': 1e-04, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (200, 300), 'Convolutional layers': [(8, (5, 5), 1), (16, (3, 3), 8), (32, (3, 3), 16)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (100, 50), 'Number (initial) classes': 2, 'Class Incremental Case': (False, 0.5, 11, (True, 0.9), (6, 0.02), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 0.0, 'Validation accuracy': 10, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.62297624, 'precision': 0.5535714285714286, 'recall': 0.5138888888888888, 'f1_score': 0.44099378881987583, 'confusion_matrix': array([[ 1, 11],
       [ 1, 17]], dtype=int64), 'forgetting_measure': [0.3800794, -0.77062005, -0.21233565]}","{""Every task  has these classes:"": [""down"", ""dog""]}"
"{'Name Experiment': 'Example of DIL', 'Optimizer': <keras.optimizers.adam.Adam object at 0x000001BEB475F850>, 'Loss function': <keras.losses.SparseCategoricalCrossentropy object at 0x000001BEBC4A3F40>, 'Number of epochs per task': 10, 'Learning_rate': 1e-04, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (200, 300), 'Convolutional layers': [(8, (5, 5), 1), (16, (3, 3), 8), (32, (3, 3), 16)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (100, 50), 'Number (initial) classes': 2, 'Class Incremental Case': (False, 0.5, 11, (True, 0.9), (6, 0.02), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 0.0, 'Validation accuracy': 10, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.79166675, 'precision': 0.25, 'recall': 0.5, 'f1_score': 0.3333333333333333, 'confusion_matrix': array([[0, 6],
       [0, 6]], dtype=int64), 'forgetting_measure': [0.7916667, 0.0, 0.0]}","{""Every task  has these classes:"": [""down"", ""dog""]}"
